 Key - Brand Numbers and Names
 
Number              Brand Name          
 
   1                Yoplait             
   2                Wght Wtch           
   3                Old Mill            
   4                Dannon              
   5                Elm Grove           
   6                YAMI                
   7                HWT MDY             
   8                HILAND              
   9                LA YOGURT           
  10                Whitneys            
  11                Breyers             
  12                LNL                 
  13                KEMPS               
  14                SW VAL FRM          
  15                SWTN                
  16                MTN HIGH            
  17                Nordica             
  18                NTRL LE             
  19                Q CH                
  20                NW CNTY             
  21                W-B-B               
  22                CTL BR              
 
 Key - Flavor Numbers and Names
 
Number              Flavor Name         
 
   1                Strawberry          
   2                Raspberry           
   3                Blueberry           
   4                Cherry              
   5                Lemon               
   6                Mixed Berry         
   7                Honey               
   8                Vanilla             
   9                Banana              
  10                Apple               
  11                Orange              
  12                Peach               
  13                Pineapple           
  14                Boysenberry         
  15                Plain               
  16                Pina Colada         
  17                Berry               
  18                Ord. Fruit          
  19                Citrus Fruit        
  20                Citrus Fruit        
  21                Cinnamon            
  22                Trop. Fruit         
  23                Pear                
  24                Coffee              
  25                Chocolate           
  26                Passchenfruit       
  27                F-C??               
  28                Granola             
  29                Almond              
  30                Wild Berry          
  31                FRT YGT ASST        
  32                Mandarin            
  33                Maple               
  34                Rhubarb             
